%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
06:40:29:721;;;;;;;;;;;;;;06:40:29:642;1447954827.43;(0.320721435546875, 0.2430595397949219);26.4474544525;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:724;;;;;;;;;;;;;;06:40:29:642;1447954827.43;(0.320721435546875, 0.2430595397949219);26.4474544525;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:748;;;;;;;;;;;;;;06:40:29:727;1447954827.49;(0.32063472270965576, 0.24300740559895828);26.6457252502;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:265;06:40:30:262;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:268;06:40:30:268;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:270;06:40:30:270;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:273;06:40:30:273;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:275;06:40:30:275;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:278;06:40:30:277;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:279;06:40:30:279;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
