%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
08:14:26:098;08:14:26:058;1447960463.88;(0.3154680490493774, 0.25076132880316837);26.4426822662;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:114;08:14:26:058;1447960463.88;(0.3154680490493774, 0.25076132880316837);26.4426822662;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:131;08:14:26:126;1447960463.94;(0.31564531326293943, 0.25037350124782987);26.382900238;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:147;08:14:26:126;1447960463.94;(0.31564531326293943, 0.25037350124782987);26.382900238;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:180;08:14:26:126;1447960463.94;(0.31564531326293943, 0.25037350124782987);26.382900238;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:197;08:14:26:194;1447960464.01;(0.31579954624176027, 0.2501419915093316);26.3619480133;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:214;08:14:26:194;1447960464.01;(0.31579954624176027, 0.2501419915093316);26.3619480133;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:230;08:14:26:194;1447960464.01;(0.31579954624176027, 0.2501419915093316);26.3619480133;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:247;08:14:26:194;1447960464.01;(0.31579954624176027, 0.2501419915093316);26.3619480133;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:280;08:14:26:258;1447960464.08;(0.3157158136367798, 0.24995074801974826);26.2826900482;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:296;08:14:26:258;1447960464.08;(0.3157158136367798, 0.24995074801974826);26.2826900482;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:313;08:14:26:258;1447960464.08;(0.3157158136367798, 0.24995074801974826);26.2826900482;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:330;08:14:26:326;1447960464.14;(0.31583738327026367, 0.2502352396647135);26.3392505646;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:346;08:14:26:326;1447960464.14;(0.31583738327026367, 0.2502352396647135);26.3392505646;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:390;08:14:26:389;1447960464.21;(0.3160185575485229, 0.25064832899305556);26.5956420898;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:392;08:14:26:389;1447960464.21;(0.3160185575485229, 0.25064832899305556);26.5956420898;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:407;08:14:26:389;1447960464.21;(0.3160185575485229, 0.25064832899305556);26.5956420898;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:424;08:14:26:389;1447960464.21;(0.3160185575485229, 0.25064832899305556);26.5956420898;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:458;08:14:26:389;1447960464.21;(0.3160185575485229, 0.25064832899305556);26.5956420898;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:474;08:14:26:459;1447960464.28;(0.31534290313720703, 0.25080066257052946);27.0643825531;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:491;08:14:26:459;1447960464.28;(0.31534290313720703, 0.25080066257052946);27.0643825531;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
