%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
04:37:48:636;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
04:37:51:495;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:495;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:495;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:495;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:521;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:521;0;9;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:537;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:537;0;9;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:555;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:555;0;10;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:588;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:588;0;10;-1.5;146.142857142857;1.46627565982405;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:604;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:604;0;4;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:621;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:621;0;9;-1.5;146.142857142857;1.46627565982405;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:638;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:638;0;0;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:670;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:670;0;15;-1.5;85.2500000000001;1.85728250244379;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
